,Open,High,Low,Close,Volume,Next_Change,MACD,signal_line,MACD_signals,previous_MACD_signal,MACD_change,signal_change,convergence,RSI,Stochastic_Oscillator,stoch_ma,STOCH_signals,previous_STOCH_signal,STOCH_change,STOCH_ma_change,stoch_convergence
2014-08-22,43.0,43.27025541619155,42.154686431014824,43.29,1683879,1,0.7811987986107596,0.4548329399127787,1,1.0,1,1,0.02604207188625246,59.9424012747897,76.22866594817962,68.342795738299,1,74.8397815452318,1,1,-6.496985806932813
2014-08-25,43.85,42.93988739236035,41.92424045043057,43.85,1850319,1,0.9012968822568013,0.5441257283815832,1,1.0,1,1,0.030805295177237124,61.23483026745049,82.7101264952696,75.5264611167843,1,76.22866594817962,1,1,-0.7022048313953206
2014-08-26,44.8,45.58861538461538,44.3642923076923,45.29,3781936,1,1.0999914277657297,0.6552988682584125,1,1.0,1,1,0.08752140563209909,64.41431173921603,96.63902837875195,86.08274474776812,1,82.7101264952696,1,1,3.372618252498526
2014-08-27,45.87,42.80163599182004,42.141002044989776,45.5,1908633,1,1.259880414386508,0.7762151774840316,1,1.0,1,1,0.038972677395159416,64.8668683957149,99.00261738596662,92.54268106686737,1,96.63902837875195,1,1,-4.0963473118845855
2014-08-28,45.5,47.06861003861004,42.13140926640927,48.9,10595261,1,1.6420170231134819,0.9493755466099216,1,1.0,1,1,0.2089762396010837,71.24333886487203,117.76343071407159,105.15305589046949,1,99.00261738596662,1,1,6.1504385045028584
2014-08-29,49.47,50.06180941787171,47.488134964775675,51.8,10254382,1,2.15403838866181,1.1903081150202994,1,1.0,1,1,0.27108879713795053,75.35239423363444,113.06606821693569,109.10956205370259,0,117.76343071407159,0,1,-8.653868660369
2014-09-02,53.0,52.507544846992616,49.822877242349634,53.94,9075576,1,2.701359533878744,1.4925183987919883,1,1.0,1,1,0.24511086144524485,77.86582710382092,109.09563269411495,109.10259737390876,0,113.06606821693569,0,0,-3.9634708430269114
2014-09-03,55.95,61.541201959306704,59.37735116804822,56.86,9221188,0,3.332322145842099,1.8604791482020107,1,1.0,1,1,0.2630018625533326,80.75032204233405,80.93662112412218,95.01960924901547,0,109.09563269411495,0,0,-14.07602344509948
2014-09-04,54.3,50.48590134468085,47.25249361702127,53.08,8197654,1,3.4871524299063665,2.185813804542882,1,1.0,1,1,-0.17050437227660376,68.3353550267376,65.54323011531163,80.28141968216354,0,80.93662112412218,0,0,-0.6552014419586243
2014-09-05,54.25,54.79140428211587,49.49169552896725,58.75,7632873,1,4.021026271496247,2.552856297933555,1,1.0,1,1,0.16683134819920742,74.63495400186984,87.80899419659099,84.04520693937727,1,65.54323011531163,1,1,18.501976824065636
2014-09-08,58.15,63.054905748558966,56.44463000467363,63.52,12161719,1,4.773992657112288,2.997083569769302,1,1.0,1,1,0.30873911378029417,78.50862314266841,102.16196329504689,93.10358511721208,1,87.80899419659099,1,1,5.29459092062109
2014-09-09,63.47,64.02125164305535,59.30567255732437,64.19,13437550,1,5.362966404736106,3.470260136762663,1,1.0,1,1,0.11579718063045696,78.99388233441383,100.76367050490958,96.93362781106083,0,102.16196329504689,0,1,-5.228335483986058
2014-09-10,67.11,69.49283831282952,64.93017721148213,68.47,12362264,0,6.104721148262058,3.9971523390625423,1,1.0,1,1,0.21486254122607296,81.81812409138914,96.28984282068049,96.61173531587066,0,100.76367050490958,0,0,-4.151935189038923
2014-09-11,70.645,69.97762359063313,65.39798785776236,68.28,15049587,1,6.601141860161164,4.517950243282266,1,1.0,1,1,-0.024377192320618413,81.29558647509513,93.94859585330973,95.2801655845902,0,96.28984282068049,0,0,-1.0096772360902975
2014-09-12,68.74,72.23750892857143,69.64325892857144,69.18,8381821,0,6.986643650279717,5.011688924681756,1,1.0,1,1,-0.10823689128093683,81.88573634855986,89.91362831501915,92.59689694980467,0,93.94859585330973,0,0,-1.3516989035050528
